序號,班級,學號,姓名,GitHub 帳號,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
1,資工所,112C52778,晞馥珖,uUofXhK08p,3,7,9,3,2,8,3,9,3,8
2,創新AI,111C53794,嫿兵鄻,8WzIZZo7or,5,1,1,2,3,9,0,7,3,1
3,資工所,112590046,擢睇梘,oHyLtWwodE,9,5,5,4,3,4,4,0,5,5
4,電資資安,112598713,铷煸屘,00UNDiNx09,6,2,7,5,8,0,2,8,9,0
5,電資AI,112598232,尸觓敃,ZAiH3Iq4Sf,2,2,5,7,4,3,8,8,8,2
6,資工系,112C53245,驕黽纲,5VCr6qvFXI,3,2,6,3,7,3,4,7,1,0
7,電資AI,112C52533,倎环蒕,yWtupQi67W,2,8,0,7,7,9,5,9,2,1
8,資工系,112C71393,哨踈鿒,iQzyWo4ZCP,3,2,9,8,7,1,8,8,8,5
9,資工所,111C52164,顁輼蜪,reRSjNHYUX,7,3,3,8,8,4,2,0,4,4
10,電資AI,111598105,夲惰嘁,ScldUvBzVq,8,6,2,9,8,2,9,8,2,8
11,資工所,112598324,溁姺尹,7X3Cbhwzmi,0,2,2,2,5,6,9,1,5,9
12,資工系,112C53757,梺鬌閟,s4scVMaTLS,2,4,5,8,4,7,1,3,3,4
13,資工所,111598924,畞櫍場,jfKQ7qm0kF,4,0,5,0,8,5,0,0,9,7
14,資工所,112C53926,沍坜郡,e4RyLrGJoj,3,4,4,9,0,2,0,9,7,1
15,創新AI,112C53867,澶敁见,pTqYWmzGA2,2,5,8,6,5,5,1,0,2,5
16,資工所,112C71330,褦伽琟,6sPZr0LN8y,8,1,8,8,3,8,7,5,1,1
17,創新AI,112590524,耰恠等,Zkxt8tsUvX,0,3,9,8,4,5,9,3,2,6
18,資工系,111590780,貝昡鹣,pmZwPxwP3j,3,2,9,7,8,3,1,7,9,5
19,電資AI,111C53930,摤羠饈,lOYgKitYSP,8,2,0,4,2,9,1,4,0,0
20,資工所,111C52948,磳旒芋,jzxyp3ZbRs,0,5,9,4,4,3,4,2,3,8
21,資工系,112C53609,增贫呉,znOz3QOhd9,5,0,7,0,8,0,6,4,9,7
22,電資資安,112C53982,鏎鵢酰,cuTz41rANX,7,3,8,1,3,5,8,7,5,2
23,創新AI,111C71174,蛪畍吞,pUvMUuS7t4,6,9,5,5,0,4,4,8,5,1
24,創新AI,112598955,傧襲挗,b19YWu4cTB,9,9,6,6,2,5,6,8,7,8
25,創新AI,112C53570,锲嗷瑠,qWoNaDkbEa,3,6,2,3,0,9,8,9,5,6
26,創新AI,112590685,鬸埽悓,XRNojdd3UT,5,1,4,6,3,2,7,4,0,0
27,電資AI,112590498,膥酖滧,rjxKUkqKPK,3,7,3,6,6,3,5,3,1,3
28,創新AI,111598420,筸櫎咓,N7jsP4dYe9,0,2,9,5,5,9,2,7,8,9
29,資工所,112598858,斒塲姡,XUYFE8xSMz,9,8,4,5,1,1,3,6,5,3
30,電資AI,112590363,薅裞錜,WKeocbrEnk,5,2,9,5,7,7,1,1,3,6
31,電資AI,112598377,篐葴馘,toXQ27v58y,0,6,8,3,6,0,7,3,4,9
32,創新AI,111C52978,逞樵撙,x3EWEvL1wo,5,3,0,0,0,1,4,8,6,0
33,資工所,111598275,飤庫袊,YSWkrce3b2,9,3,0,9,5,1,1,5,6,3
34,資工系,112C52830,梲椾孡,gODlsKuLFG,9,2,4,5,3,7,2,4,1,6
